"SpaceID","EventTime_UTC","OccupancyState"
"HO578B","2026 May 12 05:33:12 AM","OCCUPIED"
"HO519","2026 May 12 05:32:25 AM","VACANT"
"SV616A","2026 May 12 05:30:35 AM","OCCUPIED"
"HO473","2026 May 12 05:30:08 AM","VACANT"
"SV907","2026 May 12 05:28:59 AM","VACANT"
"61454","2026 May 12 05:28:20 AM","VACANT"
"WP3","2026 May 12 05:28:19 AM","VACANT"
"CB4370","2026 May 12 05:28:15 AM","OCCUPIED"
"61409","2026 May 12 05:27:06 AM","VACANT"
"66602","2026 May 12 05:25:30 AM","VACANT"
"61426","2026 May 12 05:25:19 AM","OCCUPIED"
"SV74","2026 May 12 05:24:27 AM","VACANT"
"66601","2026 May 12 05:24:10 AM","VACANT"
"HO455","2026 May 12 05:23:56 AM","VACANT"
"HO927","2026 May 12 05:22:38 AM","OCCUPIED"
"SV106","2026 May 12 05:21:14 AM","OCCUPIED"
"LZ124","2026 May 12 05:20:27 AM","VACANT"
"CB1268C","2026 May 12 05:20:14 AM","VACANT"
"CB4382","2026 May 12 05:19:56 AM","VACANT"
"HO267","2026 May 12 05:19:49 AM","OCCUPIED"
"SV213","2026 May 12 05:19:21 AM","VACANT"
"SV629","2026 May 12 05:18:42 AM","VACANT"
"SV240","2026 May 12 05:18:30 AM","VACANT"
"SV137","2026 May 12 05:16:34 AM","VACANT"
"HO9","2026 May 12 05:15:38 AM","VACANT"
"HO278B","2026 May 12 05:14:28 AM","VACANT"
"WP90","2026 May 12 05:13:39 AM","OCCUPIED"
"WP171","2026 May 12 05:13:05 AM","VACANT"
"HO307","2026 May 12 05:13:03 AM","OCCUPIED"
"SV753A","2026 May 12 05:10:39 AM","VACANT"
"61128","2026 May 12 05:10:28 AM","VACANT"
"SV80","2026 May 12 05:09:58 AM","VACANT"
"SV620","2026 May 12 05:09:52 AM","OCCUPIED"
"66610","2026 May 12 05:09:01 AM","OCCUPIED"
"LZ101","2026 May 12 05:08:33 AM","VACANT"
"SV617","2026 May 12 05:08:28 AM","VACANT"
"WP114","2026 May 12 05:07:32 AM","VACANT"
"61407","2026 May 12 05:06:51 AM","VACANT"
"SV746","2026 May 12 05:05:59 AM","VACANT"
"61111","2026 May 12 05:05:07 AM","VACANT"
"SV752A","2026 May 12 05:04:34 AM","OCCUPIED"
"SH38","2026 May 12 05:04:11 AM","VACANT"
"CB1268B","2026 May 12 05:03:28 AM","OCCUPIED"
"V212","2026 May 12 05:03:13 AM","VACANT"
"61451","2026 May 12 05:02:08 AM","VACANT"
"61457","2026 May 12 05:01:20 AM","VACANT"
"HO1057","2026 May 12 04:59:49 AM","OCCUPIED"
"HO207","2026 May 12 04:59:39 AM","VACANT"
"CB4344","2026 May 12 04:57:47 AM","OCCUPIED"
"SV323","2026 May 12 04:55:31 AM","OCCUPIED"
"WP113","2026 May 12 04:54:15 AM","OCCUPIED"
"SV633","2026 May 12 04:52:33 AM","VACANT"
"HO270","2026 May 12 04:51:24 AM","VACANT"
"WP71","2026 May 12 04:50:33 AM","VACANT"
"61452","2026 May 12 04:50:19 AM","VACANT"
"61456","2026 May 12 04:50:07 AM","VACANT"
"61113","2026 May 12 04:49:39 AM","OCCUPIED"
"61219","2026 May 12 04:48:20 AM","VACANT"
"66340","2026 May 12 04:47:31 AM","VACANT"
"66345","2026 May 12 04:47:07 AM","OCCUPIED"
"66346","2026 May 12 04:47:02 AM","OCCUPIED"
"HO221","2026 May 12 04:46:53 AM","OCCUPIED"
"SV483","2026 May 12 04:46:26 AM","VACANT"
"HO890","2026 May 12 04:45:39 AM","OCCUPIED"
"WP66A","2026 May 12 04:40:30 AM","VACANT"
"SV419","2026 May 12 04:40:08 AM","VACANT"
"HO666","2026 May 12 04:40:00 AM","OCCUPIED"
"WP2","2026 May 12 04:39:05 AM","VACANT"
"WP104","2026 May 12 04:37:37 AM","VACANT"
"61458","2026 May 12 04:37:12 AM","VACANT"
"V116","2026 May 12 04:36:21 AM","OCCUPIED"
"61405","2026 May 12 04:35:28 AM","VACANT"
"WP8","2026 May 12 04:35:05 AM","VACANT"
"82820","2026 May 12 04:34:09 AM","VACANT"
"WP70","2026 May 12 04:33:35 AM","VACANT"
"WP163","2026 May 12 04:33:34 AM","VACANT"
"SV447","2026 May 12 04:33:15 AM","OCCUPIED"
"SV628","2026 May 12 04:33:05 AM","UNKNOWN"
"61406","2026 May 12 04:33:04 AM","VACANT"
"WP128","2026 May 12 04:30:03 AM","OCCUPIED"
"SV24","2026 May 12 04:29:29 AM","OCCUPIED"
"WP147","2026 May 12 04:29:15 AM","VACANT"
"CB107","2026 May 12 04:29:11 AM","OCCUPIED"
"CB4397A","2026 May 12 04:29:02 AM","OCCUPIED"
"SV699","2026 May 12 04:29:01 AM","VACANT"
"WP152","2026 May 12 04:28:28 AM","VACANT"
"SV144","2026 May 12 04:28:26 AM","VACANT"
"WP107","2026 May 12 04:26:10 AM","VACANT"
"WP178","2026 May 12 04:26:01 AM","VACANT"
"WP151","2026 May 12 04:25:56 AM","VACANT"
"61408","2026 May 12 04:25:55 AM","VACANT"
"61218","2026 May 12 04:25:53 AM","VACANT"
"WP101","2026 May 12 04:25:42 AM","VACANT"
"SV197","2026 May 12 04:25:23 AM","VACANT"
"WP106","2026 May 12 04:25:03 AM","VACANT"
"SV540","2026 May 12 04:24:39 AM","VACANT"
"LZ125","2026 May 12 04:24:35 AM","OCCUPIED"
"61335","2026 May 12 04:24:07 AM","VACANT"
"WP172","2026 May 12 04:22:30 AM","VACANT"
"SV227","2026 May 12 04:21:55 AM","VACANT"
"V115","2026 May 12 04:21:41 AM","VACANT"
"61322","2026 May 12 04:21:31 AM","VACANT"
"V101","2026 May 12 04:21:24 AM","VACANT"
"V108","2026 May 12 04:18:16 AM","VACANT"
"SV340A","2026 May 12 04:17:31 AM","VACANT"
"61453","2026 May 12 04:16:52 AM","VACANT"
"SV246","2026 May 12 04:16:39 AM","VACANT"
"61211","2026 May 12 04:15:36 AM","VACANT"
"V102","2026 May 12 04:15:30 AM","VACANT"
"61118","2026 May 12 04:13:59 AM","VACANT"
"WP135","2026 May 12 04:13:41 AM","VACANT"
"SV107","2026 May 12 04:12:56 AM","OCCUPIED"
"HO257","2026 May 12 04:12:10 AM","VACANT"
"61215","2026 May 12 04:10:07 AM","VACANT"
"CB4387","2026 May 12 04:09:46 AM","OCCUPIED"
"SV44","2026 May 12 04:09:43 AM","VACANT"
"SV103","2026 May 12 04:09:26 AM","OCCUPIED"
"61121","2026 May 12 04:08:53 AM","VACANT"
"HO62","2026 May 12 04:08:49 AM","VACANT"
"WP159","2026 May 12 04:08:23 AM","VACANT"
"SV574","2026 May 12 04:07:10 AM","VACANT"
"V110","2026 May 12 04:07:04 AM","VACANT"
"SV37","2026 May 12 04:05:27 AM","VACANT"
"V171","2026 May 12 04:04:23 AM","VACANT"
"V168","2026 May 12 04:03:51 AM","VACANT"
"HO459","2026 May 12 04:01:27 AM","OCCUPIED"
"SV10","2026 May 12 04:00:51 AM","VACANT"
"SV634","2026 May 12 04:00:49 AM","VACANT"
"61124","2026 May 12 04:00:49 AM","VACANT"
"SV248","2026 May 12 04:00:04 AM","OCCUPIED"
"V103","2026 May 12 03:58:51 AM","VACANT"
"HO278","2026 May 12 03:58:48 AM","OCCUPIED"
"SV317","2026 May 12 03:58:11 AM","VACANT"
"82704","2026 May 12 03:57:22 AM","OCCUPIED"
"SV335","2026 May 12 03:55:36 AM","VACANT"
"61224","2026 May 12 03:55:17 AM","VACANT"
"WP153","2026 May 12 03:54:58 AM","VACANT"
"SV134","2026 May 12 03:54:29 AM","OCCUPIED"
"SV138","2026 May 12 03:54:19 AM","VACANT"
"WP91","2026 May 12 03:54:11 AM","UNKNOWN"
"SV244B","2026 May 12 03:52:16 AM","VACANT"
"SV3","2026 May 12 03:50:39 AM","OCCUPIED"
"LZ115","2026 May 12 03:50:27 AM","VACANT"
"SV402","2026 May 12 03:49:41 AM","OCCUPIED"
"61125","2026 May 12 03:48:32 AM","VACANT"
"WP96","2026 May 12 03:47:15 AM","VACANT"
"61212","2026 May 12 03:47:05 AM","VACANT"
"61223","2026 May 12 03:45:48 AM","VACANT"
"V224","2026 May 12 03:44:30 AM","VACANT"
"HO109","2026 May 12 03:42:21 AM","VACANT"
"66149","2026 May 12 03:41:15 AM","OCCUPIED"
"WP146","2026 May 12 03:40:46 AM","VACANT"
"V167","2026 May 12 03:40:04 AM","VACANT"
"SV38","2026 May 12 03:39:38 AM","VACANT"
"61112","2026 May 12 03:38:22 AM","OCCUPIED"
"SV703","2026 May 12 03:38:13 AM","VACANT"
"61459","2026 May 12 03:38:04 AM","VACANT"
"61127","2026 May 12 03:37:17 AM","VACANT"
"82807","2026 May 12 03:36:59 AM","VACANT"
"HO678","2026 May 12 03:36:20 AM","VACANT"
"61123","2026 May 12 03:33:56 AM","VACANT"
"61213","2026 May 12 03:32:44 AM","VACANT"
"WP145","2026 May 12 03:32:24 AM","VACANT"
"V254","2026 May 12 03:32:15 AM","OCCUPIED"
"WP10","2026 May 12 03:31:57 AM","VACANT"
"HO1030","2026 May 12 03:31:55 AM","VACANT"
"WP100","2026 May 12 03:31:55 AM","VACANT"
"SV116","2026 May 12 03:28:41 AM","VACANT"
"SV428","2026 May 12 03:27:18 AM","OCCUPIED"
"LZ105","2026 May 12 03:27:16 AM","OCCUPIED"
"CB1170","2026 May 12 03:26:54 AM","VACANT"
"V207","2026 May 12 03:24:13 AM","VACANT"
"61323","2026 May 12 03:23:57 AM","VACANT"
"WP74","2026 May 12 03:23:07 AM","VACANT"
"SV944","2026 May 12 03:20:50 AM","OCCUPIED"
"SV586","2026 May 12 03:20:47 AM","OCCUPIED"
"SV595","2026 May 12 03:17:54 AM","VACANT"
"V109","2026 May 12 03:17:43 AM","VACANT"
"66613","2026 May 12 03:17:30 AM","VACANT"
"LZ112","2026 May 12 03:16:42 AM","VACANT"
"SV208","2026 May 12 03:13:55 AM","VACANT"
"SV209","2026 May 12 03:13:34 AM","VACANT"
"LZ122","2026 May 12 03:11:56 AM","VACANT"
"WP180","2026 May 12 03:10:38 AM","VACANT"
"HO393","2026 May 12 03:10:04 AM","VACANT"
"LZ107","2026 May 12 03:06:22 AM","VACANT"
"61214","2026 May 12 03:05:53 AM","VACANT"
"CB4399A","2026 May 12 03:05:52 AM","OCCUPIED"
"61217","2026 May 12 03:05:47 AM","VACANT"
"SV754","2026 May 12 03:05:10 AM","VACANT"
"WP149","2026 May 12 03:01:53 AM","VACANT"
"SV614","2026 May 12 03:01:26 AM","VACANT"
"WV672A","2026 May 12 02:59:49 AM","OCCUPIED"
"CB4351","2026 May 12 02:59:09 AM","OCCUPIED"
"CB3721","2026 May 12 02:57:52 AM","VACANT"
"WP131","2026 May 12 02:57:52 AM","VACANT"
"HO577A","2026 May 12 02:57:34 AM","VACANT"
"CT1","2026 May 12 02:56:44 AM","VACANT"
"CB4477","2026 May 12 02:56:16 AM","OCCUPIED"
"WV449","2026 May 12 02:56:01 AM","OCCUPIED"
"CB3678A","2026 May 12 02:55:56 AM","OCCUPIED"
"CB3576","2026 May 12 02:55:42 AM","OCCUPIED"
"CB3310","2026 May 12 02:55:11 AM","OCCUPIED"
"CT1A","2026 May 12 02:52:30 AM","VACANT"
"WV612","2026 May 12 02:52:29 AM","VACANT"
"CB2849","2026 May 12 02:52:16 AM","VACANT"
"SV918","2026 May 12 02:52:04 AM","OCCUPIED"
"CB1071","2026 May 12 02:51:53 AM","OCCUPIED"
"61324","2026 May 12 02:51:32 AM","VACANT"
"LT83","2026 May 12 02:51:28 AM","VACANT"
"CB3020","2026 May 12 02:51:27 AM","VACANT"
"SV187","2026 May 12 02:50:38 AM","VACANT"
"CB106","2026 May 12 02:50:37 AM","OCCUPIED"
"CT555","2026 May 12 02:50:00 AM","OCCUPIED"
"CB3676","2026 May 12 02:49:38 AM","OCCUPIED"
"CB2859","2026 May 12 02:49:37 AM","VACANT"
"CB3651","2026 May 12 02:49:10 AM","OCCUPIED"
"CB2838","2026 May 12 02:48:25 AM","VACANT"
"82803","2026 May 12 02:48:15 AM","VACANT"
"CT561","2026 May 12 02:47:43 AM","VACANT"
"WV80","2026 May 12 02:46:36 AM","OCCUPIED"
"WV676","2026 May 12 02:46:15 AM","VACANT"
"SV143","2026 May 12 02:45:45 AM","VACANT"
"CB3628","2026 May 12 02:45:28 AM","OCCUPIED"
"61141","2026 May 12 02:45:14 AM","VACANT"
"82808","2026 May 12 02:45:02 AM","OCCUPIED"
"SV241","2026 May 12 02:44:20 AM","OCCUPIED"
"61325","2026 May 12 02:43:58 AM","OCCUPIED"
"WV238","2026 May 12 02:43:15 AM","VACANT"
"WP80","2026 May 12 02:43:06 AM","OCCUPIED"
"CB905A","2026 May 12 02:42:58 AM","OCCUPIED"
"61245","2026 May 12 02:42:57 AM","VACANT"
"WV592","2026 May 12 02:42:33 AM","OCCUPIED"
"61122","2026 May 12 02:41:55 AM","VACANT"
"HO899","2026 May 12 02:41:40 AM","OCCUPIED"
"CT557","2026 May 12 02:40:53 AM","VACANT"
"CB898","2026 May 12 02:39:33 AM","OCCUPIED"
"HO467A","2026 May 12 02:39:22 AM","VACANT"
"CB3140","2026 May 12 02:39:18 AM","VACANT"
"HO575A","2026 May 12 02:38:08 AM","VACANT"
"HO72","2026 May 12 02:38:04 AM","OCCUPIED"
"CB3246","2026 May 12 02:37:57 AM","VACANT"
"CB3249","2026 May 12 02:37:36 AM","OCCUPIED"
"CB2845","2026 May 12 02:37:31 AM","OCCUPIED"
"WV452","2026 May 12 02:36:41 AM","VACANT"
"WV310","2026 May 12 02:35:56 AM","OCCUPIED"
"CB3011","2026 May 12 02:35:53 AM","OCCUPIED"
"CB3012","2026 May 12 02:35:26 AM","OCCUPIED"
"CB1403B","2026 May 12 02:35:26 AM","OCCUPIED"
"SV207A","2026 May 12 02:34:40 AM","VACANT"
"WV593","2026 May 12 02:34:24 AM","VACANT"
"CT568","2026 May 12 02:33:38 AM","VACANT"
"CB1308A","2026 May 12 02:33:36 AM","OCCUPIED"
"SV344","2026 May 12 02:33:21 AM","VACANT"
"WV662","2026 May 12 02:31:21 AM","VACANT"
"CB1347","2026 May 12 02:30:53 AM","VACANT"
"CB3720","2026 May 12 02:30:49 AM","VACANT"
"CC1584","2026 May 12 02:30:31 AM","OCCUPIED"
"WV382","2026 May 12 02:30:20 AM","OCCUPIED"
"WV99","2026 May 12 02:30:17 AM","VACANT"
"WV87","2026 May 12 02:29:39 AM","OCCUPIED"
"CB1309","2026 May 12 02:28:44 AM","OCCUPIED"
"CB1191","2026 May 12 02:28:41 AM","VACANT"
"CB3687","2026 May 12 02:27:59 AM","OCCUPIED"
"V117","2026 May 12 02:27:29 AM","VACANT"
"CB4482A","2026 May 12 02:27:10 AM","OCCUPIED"
"WV52","2026 May 12 02:27:01 AM","OCCUPIED"
"SV867","2026 May 12 02:26:49 AM","OCCUPIED"
"CT562","2026 May 12 02:26:47 AM","VACANT"
"LT282","2026 May 12 02:25:20 AM","OCCUPIED"
"SV206A","2026 May 12 02:25:08 AM","VACANT"
"CB3871","2026 May 12 02:24:55 AM","OCCUPIED"
"CT567","2026 May 12 02:24:49 AM","VACANT"
"CB3013","2026 May 12 02:24:33 AM","OCCUPIED"
"CB3882A","2026 May 12 02:24:27 AM","OCCUPIED"
"CB4390","2026 May 12 02:23:12 AM","OCCUPIED"
"SV658","2026 May 12 02:22:24 AM","OCCUPIED"
"CC1587","2026 May 12 02:22:14 AM","OCCUPIED"
"SV657","2026 May 12 02:22:10 AM","VACANT"
"CT191","2026 May 12 02:21:59 AM","OCCUPIED"
"CB4323","2026 May 12 02:21:49 AM","OCCUPIED"
"CB102","2026 May 12 02:21:30 AM","OCCUPIED"
"WV58","2026 May 12 02:20:07 AM","OCCUPIED"
"CB2940","2026 May 12 02:19:31 AM","VACANT"
"CB3732","2026 May 12 02:19:28 AM","OCCUPIED"
"CB3339A","2026 May 12 02:19:11 AM","OCCUPIED"
"CB3582A","2026 May 12 02:19:10 AM","OCCUPIED"
"SV230","2026 May 12 02:18:56 AM","VACANT"
"LT283","2026 May 12 02:18:46 AM","OCCUPIED"
"WV8","2026 May 12 02:18:17 AM","VACANT"
"CB25","2026 May 12 02:18:07 AM","OCCUPIED"
"CB1208","2026 May 12 02:17:37 AM","OCCUPIED"
"SV132","2026 May 12 02:17:31 AM","VACANT"
"WP117","2026 May 12 02:17:20 AM","OCCUPIED"
"CB2853","2026 May 12 02:16:40 AM","OCCUPIED"
"CB1403A","2026 May 12 02:16:16 AM","OCCUPIED"
"CT179","2026 May 12 02:16:00 AM","OCCUPIED"
"CT112","2026 May 12 02:15:17 AM","VACANT"
"CB3000A","2026 May 12 02:15:16 AM","OCCUPIED"
"CB26","2026 May 12 02:14:26 AM","OCCUPIED"
"WV487","2026 May 12 02:14:08 AM","OCCUPIED"
"CB3705","2026 May 12 02:13:06 AM","OCCUPIED"
"LT237","2026 May 12 02:12:51 AM","OCCUPIED"
"SV409","2026 May 12 02:12:48 AM","OCCUPIED"
"WV377A","2026 May 12 02:12:23 AM","VACANT"
"WV569","2026 May 12 02:12:22 AM","VACANT"
"CB208","2026 May 12 02:10:38 AM","OCCUPIED"
"CB3881","2026 May 12 02:10:28 AM","OCCUPIED"
"CB3435","2026 May 12 02:09:41 AM","OCCUPIED"
"CB2973","2026 May 12 02:08:55 AM","OCCUPIED"
"CB2809","2026 May 12 02:08:42 AM","OCCUPIED"
"CB91","2026 May 12 02:07:56 AM","OCCUPIED"
"WV332","2026 May 12 02:07:32 AM","OCCUPIED"
"CB1385","2026 May 12 02:07:00 AM","OCCUPIED"
"CB155","2026 May 12 02:06:22 AM","OCCUPIED"
"CC1582","2026 May 12 02:06:18 AM","VACANT"
"CB105","2026 May 12 02:06:15 AM","OCCUPIED"
"HO905","2026 May 12 02:06:05 AM","VACANT"
"LT572","2026 May 12 02:06:00 AM","OCCUPIED"
"CB3733A","2026 May 12 02:05:51 AM","OCCUPIED"
"CB3869","2026 May 12 02:05:40 AM","OCCUPIED"
"LT247","2026 May 12 02:05:22 AM","OCCUPIED"
"CB3449","2026 May 12 02:04:51 AM","OCCUPIED"
"WV304","2026 May 12 02:04:43 AM","OCCUPIED"
"CB2999","2026 May 12 02:04:20 AM","OCCUPIED"
"CB3556B","2026 May 12 02:04:16 AM","OCCUPIED"
"WV446A","2026 May 12 02:04:03 AM","OCCUPIED"
"CT514","2026 May 12 02:03:56 AM","OCCUPIED"
"CB3626","2026 May 12 02:02:34 AM","OCCUPIED"
"LZ111","2026 May 12 02:02:12 AM","OCCUPIED"
"CC1222","2026 May 12 02:01:39 AM","VACANT"
"CT559","2026 May 12 02:01:34 AM","VACANT"
"WV295","2026 May 12 02:00:42 AM","OCCUPIED"
"CB4490","2026 May 12 02:00:41 AM","OCCUPIED"
"SV506A","2026 May 12 02:00:08 AM","OCCUPIED"
"CB4325","2026 May 12 02:00:01 AM","VACANT"
"CB4322","2026 May 12 01:59:34 AM","VACANT"
"LT575","2026 May 12 01:58:36 AM","OCCUPIED"
"SV508A","2026 May 12 01:58:23 AM","OCCUPIED"
"CB2839","2026 May 12 01:57:35 AM","OCCUPIED"
"CB1383","2026 May 12 01:57:05 AM","OCCUPIED"
"CB3574","2026 May 12 01:57:03 AM","OCCUPIED"
"WV599","2026 May 12 01:57:00 AM","OCCUPIED"
"LT277","2026 May 12 01:56:24 AM","OCCUPIED"
"CB1218","2026 May 12 01:55:27 AM","OCCUPIED"
"HO663C","2026 May 12 01:55:18 AM","OCCUPIED"
"CB1384","2026 May 12 01:55:03 AM","OCCUPIED"
"CB1344","2026 May 12 01:54:32 AM","OCCUPIED"
"SV570","2026 May 12 01:54:19 AM","OCCUPIED"
"CB2750A","2026 May 12 01:54:10 AM","OCCUPIED"
"WP110","2026 May 12 01:54:06 AM","VACANT"
"CB3648A","2026 May 12 01:54:02 AM","OCCUPIED"
"CB892A","2026 May 12 01:53:41 AM","OCCUPIED"
"WV303","2026 May 12 01:53:31 AM","OCCUPIED"
"WV222","2026 May 12 01:53:13 AM","OCCUPIED"
"WV488","2026 May 12 01:52:59 AM","OCCUPIED"
"CB1201","2026 May 12 01:52:51 AM","OCCUPIED"
"HO1072","2026 May 12 01:52:25 AM","OCCUPIED"
"CB3648","2026 May 12 01:52:24 AM","OCCUPIED"
"WV663","2026 May 12 01:52:16 AM","OCCUPIED"
"SV518A","2026 May 12 01:51:55 AM","OCCUPIED"
"CT67","2026 May 12 01:51:43 AM","OCCUPIED"
"CB2864","2026 May 12 01:51:31 AM","VACANT"
"CB4467","2026 May 12 01:50:55 AM","OCCUPIED"
"CB93","2026 May 12 01:50:32 AM","VACANT"
"HO908","2026 May 12 01:49:30 AM","VACANT"
"WV448","2026 May 12 01:48:55 AM","VACANT"
"SV524A","2026 May 12 01:48:26 AM","VACANT"
"WV404","2026 May 12 01:47:56 AM","OCCUPIED"
"CB1467","2026 May 12 01:47:18 AM","OCCUPIED"
"CB135A","2026 May 12 01:47:02 AM","OCCUPIED"
"WV585","2026 May 12 01:45:56 AM","OCCUPIED"
"CB176","2026 May 12 01:45:54 AM","OCCUPIED"
"WV677","2026 May 12 01:45:32 AM","OCCUPIED"
"CB3578","2026 May 12 01:45:29 AM","OCCUPIED"
"CB3627A","2026 May 12 01:45:23 AM","OCCUPIED"
"SV207","2026 May 12 01:45:05 AM","VACANT"
"SH25A","2026 May 12 01:44:59 AM","OCCUPIED"
"CB897","2026 May 12 01:43:58 AM","VACANT"
"CT651","2026 May 12 01:43:51 AM","VACANT"
"WV75A","2026 May 12 01:42:23 AM","OCCUPIED"
"CB3853","2026 May 12 01:42:20 AM","OCCUPIED"
"V120","2026 May 12 01:42:17 AM","OCCUPIED"
"WV494","2026 May 12 01:42:02 AM","OCCUPIED"
"CT425","2026 May 12 01:41:32 AM","OCCUPIED"
"CB1399","2026 May 12 01:41:29 AM","OCCUPIED"
"WV590","2026 May 12 01:41:02 AM","OCCUPIED"
"CB4364","2026 May 12 01:40:31 AM","OCCUPIED"
"CB2755","2026 May 12 01:40:22 AM","OCCUPIED"
"WV589","2026 May 12 01:40:17 AM","OCCUPIED"
"LT249","2026 May 12 01:39:09 AM","OCCUPIED"
"CB4485","2026 May 12 01:37:50 AM","OCCUPIED"
"CB3583A","2026 May 12 01:37:01 AM","OCCUPIED"
"CB216","2026 May 12 01:36:55 AM","OCCUPIED"
"CT428","2026 May 12 01:36:49 AM","VACANT"
"CB1268","2026 May 12 01:36:43 AM","VACANT"
"CB4512","2026 May 12 01:36:25 AM","OCCUPIED"
"SH26A","2026 May 12 01:36:18 AM","OCCUPIED"
"WV73","2026 May 12 01:35:56 AM","OCCUPIED"
"WV493","2026 May 12 01:35:48 AM","VACANT"
"CB3006","2026 May 12 01:35:48 AM","OCCUPIED"
"CB1251","2026 May 12 01:35:06 AM","OCCUPIED"
"CB2941A","2026 May 12 01:35:03 AM","OCCUPIED"
"HO1067","2026 May 12 01:34:47 AM","OCCUPIED"
"CB3646","2026 May 12 01:34:11 AM","OCCUPIED"
"LT273","2026 May 12 01:34:10 AM","OCCUPIED"
"WV106","2026 May 12 01:34:01 AM","VACANT"
"CB1213","2026 May 12 01:33:48 AM","OCCUPIED"
"CB23","2026 May 12 01:33:39 AM","OCCUPIED"
"CB3733","2026 May 12 01:33:15 AM","OCCUPIED"
"CB4465","2026 May 12 01:32:44 AM","OCCUPIED"
"CB896","2026 May 12 01:32:14 AM","VACANT"
"82810","2026 May 12 01:32:12 AM","VACANT"
"CB2851","2026 May 12 01:32:09 AM","OCCUPIED"
"WP69","2026 May 12 01:32:09 AM","VACANT"
"WV79","2026 May 12 01:32:09 AM","OCCUPIED"
"CB3735","2026 May 12 01:30:53 AM","OCCUPIED"
"CB3678B","2026 May 12 01:30:33 AM","OCCUPIED"
"WV597","2026 May 12 01:30:20 AM","OCCUPIED"
"CB3862","2026 May 12 01:30:09 AM","OCCUPIED"
"WV484","2026 May 12 01:28:45 AM","OCCUPIED"
"CB3021","2026 May 12 01:28:31 AM","OCCUPIED"
"CB3006A","2026 May 12 01:28:28 AM","OCCUPIED"
"WV39A","2026 May 12 01:28:11 AM","OCCUPIED"
"LT36A","2026 May 12 01:27:51 AM","OCCUPIED"
"CB1245","2026 May 12 01:27:27 AM","OCCUPIED"
"CB3025","2026 May 12 01:26:58 AM","OCCUPIED"
"WV474","2026 May 12 01:26:52 AM","OCCUPIED"
"CB3308","2026 May 12 01:26:44 AM","OCCUPIED"
"CB1183","2026 May 12 01:26:40 AM","OCCUPIED"
"CB1276","2026 May 12 01:25:33 AM","OCCUPIED"
"CB3487","2026 May 12 01:25:30 AM","VACANT"
"HO901","2026 May 12 01:25:22 AM","OCCUPIED"
"CB2754","2026 May 12 01:25:01 AM","OCCUPIED"
"CB1618A","2026 May 12 01:23:28 AM","OCCUPIED"
"CB4359","2026 May 12 01:23:03 AM","OCCUPIED"
"CB4482","2026 May 12 01:22:47 AM","OCCUPIED"
"CB1222","2026 May 12 01:21:46 AM","OCCUPIED"
"HO981","2026 May 12 01:21:38 AM","OCCUPIED"
"CB3579","2026 May 12 01:21:07 AM","OCCUPIED"
"LT59","2026 May 12 01:20:16 AM","OCCUPIED"
"CB1618","2026 May 12 01:19:50 AM","OCCUPIED"
"CB3005B","2026 May 12 01:19:21 AM","OCCUPIED"
"LT60","2026 May 12 01:19:11 AM","OCCUPIED"
"CB3581A","2026 May 12 01:19:09 AM","OCCUPIED"
"CB3728A","2026 May 12 01:19:01 AM","OCCUPIED"
"CB1248","2026 May 12 01:18:51 AM","OCCUPIED"
"CB2749","2026 May 12 01:18:42 AM","VACANT"
"CT560","2026 May 12 01:18:12 AM","VACANT"
"CB4489","2026 May 12 01:17:52 AM","OCCUPIED"
"CB1616","2026 May 12 01:17:51 AM","OCCUPIED"
"CT54","2026 May 12 01:17:50 AM","VACANT"
"WV64","2026 May 12 01:17:31 AM","OCCUPIED"
"WV602","2026 May 12 01:17:31 AM","OCCUPIED"
"CB1350","2026 May 12 01:17:25 AM","VACANT"
"LT386","2026 May 12 01:17:08 AM","VACANT"
"CB4396","2026 May 12 01:15:38 AM","VACANT"
"WV673A","2026 May 12 01:15:13 AM","OCCUPIED"
"CB1271","2026 May 12 01:15:11 AM","OCCUPIED"
"CB2844","2026 May 12 01:14:44 AM","OCCUPIED"
"CB3309","2026 May 12 01:14:02 AM","OCCUPIED"
"CB1463","2026 May 12 01:12:36 AM","OCCUPIED"
"CB3468","2026 May 12 01:12:34 AM","OCCUPIED"
"CB221","2026 May 12 01:12:19 AM","OCCUPIED"
"CB3905B","2026 May 12 01:12:18 AM","OCCUPIED"
"HO288","2026 May 12 01:10:10 AM","UNKNOWN"
"CB3498","2026 May 12 01:10:10 AM","OCCUPIED"
"CB4462","2026 May 12 01:08:50 AM","OCCUPIED"
"CB3734","2026 May 12 01:08:16 AM","OCCUPIED"
"CB1397","2026 May 12 01:08:13 AM","OCCUPIED"
"CB1250","2026 May 12 01:07:49 AM","OCCUPIED"
"CB3490","2026 May 12 01:07:36 AM","OCCUPIED"
"CB130","2026 May 12 01:07:30 AM","OCCUPIED"
"HO663A","2026 May 12 01:07:24 AM","VACANT"
"CB1247","2026 May 12 01:07:24 AM","OCCUPIED"
"LT122","2026 May 12 01:06:08 AM","OCCUPIED"
"CT252","2026 May 12 01:05:55 AM","VACANT"
"CB3001A","2026 May 12 01:05:43 AM","OCCUPIED"
"CB1249","2026 May 12 01:05:32 AM","OCCUPIED"
"CB2879","2026 May 12 01:05:26 AM","OCCUPIED"
"CB3906A","2026 May 12 01:05:23 AM","OCCUPIED"
"CT420","2026 May 12 01:05:15 AM","OCCUPIED"
"CB1377","2026 May 12 01:05:14 AM","VACANT"
