"SpaceID","EventTime_UTC","OccupancyState"
"CB1762","2026 May 12 10:01:56 AM","VACANT"
"SV753","2026 May 12 10:01:22 AM","VACANT"
"HO78A","2026 May 12 10:00:02 AM","VACANT"
"HO133","2026 May 12 09:59:22 AM","OCCUPIED"
"V70","2026 May 12 09:57:58 AM","VACANT"
"SV945","2026 May 12 09:57:22 AM","OCCUPIED"
"CB1037","2026 May 12 09:57:12 AM","VACANT"
"66202","2026 May 12 09:57:01 AM","VACANT"
"SP578","2026 May 12 09:56:42 AM","VACANT"
"HO70","2026 May 12 09:56:24 AM","VACANT"
"66406","2026 May 12 09:55:27 AM","VACANT"
"SP802","2026 May 12 09:53:26 AM","VACANT"
"SV720","2026 May 12 09:53:06 AM","VACANT"
"CB1376","2026 May 12 09:52:41 AM","VACANT"
"SV191","2026 May 12 09:51:37 AM","VACANT"
"HO211","2026 May 12 09:50:56 AM","VACANT"
"HO61","2026 May 12 09:50:43 AM","VACANT"
"66182","2026 May 12 09:49:52 AM","OCCUPIED"
"HO138","2026 May 12 09:49:46 AM","VACANT"
"HO20","2026 May 12 09:49:22 AM","VACANT"
"66606","2026 May 12 09:47:55 AM","VACANT"
"HO136","2026 May 12 09:47:46 AM","VACANT"
"HO135","2026 May 12 09:47:44 AM","VACANT"
"SV495","2026 May 12 09:47:11 AM","VACANT"
"SV309","2026 May 12 09:46:38 AM","VACANT"
"SV309A","2026 May 12 09:46:11 AM","OCCUPIED"
"66462","2026 May 12 09:45:51 AM","VACANT"
"HO44","2026 May 12 09:45:26 AM","VACANT"
"CB2540","2026 May 12 09:45:22 AM","OCCUPIED"
"SV126","2026 May 12 09:45:13 AM","VACANT"
"HO81","2026 May 12 09:44:40 AM","VACANT"
"HO268","2026 May 12 09:44:33 AM","VACANT"
"66294","2026 May 12 09:44:28 AM","VACANT"
"SV308","2026 May 12 09:43:02 AM","VACANT"
"SV307","2026 May 12 09:43:00 AM","VACANT"
"SV324","2026 May 12 09:42:29 AM","VACANT"
"HO101","2026 May 12 09:41:55 AM","VACANT"
"HO570","2026 May 12 09:41:30 AM","VACANT"
"SH386","2026 May 12 09:40:58 AM","VACANT"
"HO80A","2026 May 12 09:40:52 AM","VACANT"
"66401","2026 May 12 09:39:27 AM","VACANT"
"SV516","2026 May 12 09:39:16 AM","VACANT"
"HO224","2026 May 12 09:37:07 AM","VACANT"
"HO242A","2026 May 12 09:37:00 AM","VACANT"
"HO1062","2026 May 12 09:35:54 AM","VACANT"
"V113","2026 May 12 09:35:47 AM","VACANT"
"61357","2026 May 12 09:35:26 AM","OCCUPIED"
"HO879A-const","2026 May 12 09:35:06 AM","UNKNOWN"
"SV608A","2026 May 12 09:35:04 AM","VACANT"
"66151","2026 May 12 09:34:55 AM","VACANT"
"82709","2026 May 12 09:34:52 AM","VACANT"
"HO978","2026 May 12 09:32:57 AM","VACANT"
"HO194","2026 May 12 09:32:22 AM","VACANT"
"HO67","2026 May 12 09:31:28 AM","VACANT"
"66150","2026 May 12 09:28:59 AM","VACANT"
"CB4505","2026 May 12 09:28:33 AM","VACANT"
"HO268B","2026 May 12 09:26:59 AM","VACANT"
"HO74","2026 May 12 09:26:30 AM","VACANT"
"CB4011","2026 May 12 09:26:03 AM","VACANT"
"HO73","2026 May 12 09:25:53 AM","VACANT"
"66404","2026 May 12 09:24:58 AM","VACANT"
"CB341","2026 May 12 09:24:03 AM","VACANT"
"HO251","2026 May 12 09:24:03 AM","VACANT"
"HO288B","2026 May 12 09:23:45 AM","VACANT"
"CB1077","2026 May 12 09:23:18 AM","VACANT"
"CB1542","2026 May 12 09:23:16 AM","VACANT"
"HO976","2026 May 12 09:22:51 AM","VACANT"
"CB332","2026 May 12 09:22:48 AM","VACANT"
"SV115","2026 May 12 09:22:23 AM","VACANT"
"66292","2026 May 12 09:22:20 AM","VACANT"
"CB4100","2026 May 12 09:22:09 AM","VACANT"
"SV34","2026 May 12 09:21:18 AM","VACANT"
"CB1036A","2026 May 12 09:20:52 AM","VACANT"
"CB2047B","2026 May 12 09:20:00 AM","VACANT"
"HO37","2026 May 12 09:19:46 AM","VACANT"
"SV141","2026 May 12 09:19:01 AM","VACANT"
"CB1200","2026 May 12 09:17:54 AM","OCCUPIED"
"HO692A","2026 May 12 09:17:07 AM","VACANT"
"66173","2026 May 12 09:16:32 AM","VACANT"
"HO277A","2026 May 12 09:16:02 AM","VACANT"
"CB252","2026 May 12 09:15:39 AM","OCCUPIED"
"SV827","2026 May 12 09:15:32 AM","VACANT"
"HO272","2026 May 12 09:15:00 AM","VACANT"
"CB4425","2026 May 12 09:14:58 AM","VACANT"
"HO29","2026 May 12 09:14:50 AM","OCCUPIED"
"SV145","2026 May 12 09:14:07 AM","VACANT"
"HO46","2026 May 12 09:13:36 AM","VACANT"
"WP175","2026 May 12 09:13:32 AM","VACANT"
"HO75A","2026 May 12 09:13:28 AM","VACANT"
"HO253","2026 May 12 09:13:11 AM","VACANT"
"HO404","2026 May 12 09:12:56 AM","VACANT"
"SP580","2026 May 12 09:12:53 AM","VACANT"
"HO692","2026 May 12 09:12:50 AM","VACANT"
"SV427","2026 May 12 09:12:41 AM","VACANT"
"HO76A","2026 May 12 09:10:59 AM","OCCUPIED"
"SV598","2026 May 12 09:10:48 AM","VACANT"
"61355","2026 May 12 09:10:44 AM","VACANT"
"WP1","2026 May 12 09:10:21 AM","VACANT"
"HO684A","2026 May 12 09:09:58 AM","VACANT"
"SV514","2026 May 12 09:09:50 AM","VACANT"
"CB209","2026 May 12 09:09:41 AM","VACANT"
"HO215","2026 May 12 09:09:40 AM","VACANT"
"CB1016","2026 May 12 09:09:24 AM","VACANT"
"SV325","2026 May 12 09:09:22 AM","VACANT"
