target,sensor_id,lat,lon,in_degree,mass_off_adjacency,mass_on_no_road_path,mass_on_far_road,self_mass_share,missing_pct,longest_missing_run_steps,longest_constant_nonzero_run_steps,max_mph,pct_above_80mph,mean_nonzero_mph
4,717446,34.07142,-118.26572,10,0.9375,0.6427,0.29485,0.010100000000000001,7.187,381,3,70.0,0.0,49.65
1,767541,34.11621,-118.23799,10,0.9373,0.4888,0.4484,0.0129,6.27,381,3,70.0,0.0,64.5
206,769373,34.10262,-118.31747,11,0.9363,0.6728,0.2635,0.013,6.332,381,3,70.0,0.0,54.66
195,717456,34.08102,-118.29325,11,0.9358,0.6288,0.307,0.0145,6.588,381,3,70.0,0.0,62.52
127,717472,34.10045,-118.31601,10,0.9354,0.6598,0.2756,0.01005,10.746,382,7,70.0,0.0,56.2
93,773024,34.05759,-118.24357,12,0.9322,0.6699,0.2623,0.0151,6.332,381,3,70.0,0.0,59.99
13,773906,34.1566,-118.30266,11,0.9321,0.6112,0.3209,0.0153,7.729,381,3,70.0,0.0,64.11
179,773974,34.14559,-118.22251,10,0.932,0.632,0.3,0.0118,6.317,381,3,69.6,0.0,56.14
95,718379,34.14224,-118.27812,11,0.9319,0.6709,0.261,0.0112,8.214,381,3,70.0,0.0,55.33
161,717460,34.08571,-118.30161,12,0.931,0.6726,0.2584,0.0157,8.278,399,3,70.0,0.0,62.82
79,718066,34.12302,-118.22889,10,0.9306,0.7333,0.1973,0.0159,6.273,381,4,70.0,0.0,64.78
123,767523,34.11439,-118.24209,8,0.9303,0.515,0.4153,0.0134,6.268,381,4,70.0,0.0,67.2
103,717488,34.13561,-118.36006,12,0.9289,0.6462,0.2828,0.0124,6.583,381,4,70.0,0.0,60.61
98,717486,34.12974,-118.34809,10,0.9288,0.6759,0.2529,0.0082,6.384,381,3,70.0,0.0,55.34
27,767572,34.12967,-118.22871,12,0.9281,0.7046,0.2235,0.0149,6.594,381,4,69.0,0.0,61.58
68,764766,34.13338,-118.3535,11,0.9277,0.6545,0.2732,0.0126,6.285,381,3,70.0,0.0,62.72
125,718090,34.14847,-118.27969,13,0.9276,0.6373,0.2903,0.0151,8.398,381,3,70.0,0.0,51.41
191,717450,34.07488,-118.27362,12,0.9272499999999999,0.6325000000000001,0.29475,0.009600000000000001,6.734,381,3,70.0,0.0,48.68
193,717453,34.07696,-118.28093,12,0.9271499999999999,0.6692,0.258,0.010450000000000001,6.469,381,3,70.0,0.0,45.29
80,765164,34.07898,-118.28911,13,0.9271,0.6398,0.2873,0.0138,6.358,381,4,70.0,0.0,62.41
30,773013,34.08374,-118.22076,11,0.9269,0.6624,0.2645,0.0143,8.342,381,6,70.0,0.0,59.03
169,717580,34.1562,-118.26359,10,0.9268,0.6765,0.2503,0.0138,8.759,854,3,70.0,0.0,64.79
16,771667,34.07314,-118.23388,15,0.9257,0.7257,0.2001,0.0092,8.365,381,3,70.0,0.0,30.89
15,716331,34.07006,-118.26246,12,0.9247000000000001,0.6319,0.29285,0.0097,6.513,381,3,70.0,0.0,49.72
157,717465,34.09373,-118.30907,12,0.9243,0.6871,0.2371,0.0155,6.329,381,3,70.0,0.0,59.54
97,717480,34.10478,-118.32497,12,0.9227,0.6828,0.2399,0.015,6.428,381,3,70.0,0.0,61.6
82,769430,34.15818,-118.45658,14,0.921,0.7435,0.1775,0.01,11.928,1330,3,70.0,0.0,54.57
130,764781,34.16037,-118.47012,12,0.921,0.7827,0.1382,0.0096,6.305,381,3,70.0,0.0,57.02
168,717583,34.15627,-118.25506,10,0.9202,0.6652,0.2549,0.0129,9.037,854,4,70.0,0.0,64.34
187,717458,34.08265,-118.29755,13,0.9189499999999999,0.6959500000000001,0.223,0.00855,6.32,381,2,70.0,0.0,43.61
12,716339,34.07821,-118.28795,15,0.91605,0.6636,0.25245,0.00795,6.44,381,5,70.0,0.0,40.38
190,764858,34.1527,-118.3754,15,0.9155,0.6495,0.266,0.0137,6.335,381,3,70.0,0.0,60.0
163,717462,34.08993,-118.30607,14,0.91445,0.7112499999999999,0.2032,0.009000000000000001,6.361,381,7,70.0,0.0,50.81
155,717468,34.09699,-118.31381,14,0.9140999999999999,0.65895,0.25515,0.0093,6.285,381,4,70.0,0.0,51.17
159,717466,34.09359,-118.30918,14,0.9135,0.6625000000000001,0.251,0.009649999999999999,6.308,381,3,70.0,0.0,52.55
198,769372,34.1027,-118.3173,13,0.9126,0.678,0.2347,0.0153,6.402,381,3,70.0,0.0,62.13
171,717587,34.15402,-118.23893,10,0.9125,0.6145,0.298,0.0154,9.255,854,4,70.0,0.0,65.84
188,717459,34.08294,-118.29729,15,0.9108,0.6362,0.2746,0.0165,6.294,381,4,70.0,0.0,61.48
72,717492,34.15459,-118.37935,15,0.9097,0.6689,0.2409,0.0131,6.53,381,3,70.0,0.0,56.85
43,760024,34.1593,-118.46483,13,0.9092,0.7507,0.1585,0.0103,6.279,381,3,70.0,0.0,54.3
108,767454,34.14352,-118.22733,10,0.9084,0.6281,0.2803,0.0149,12.418,413,4,70.0,0.0,67.52
146,717502,34.16521,-118.47484,14,0.9083,0.7398,0.1685,0.0168,9.072,381,3,70.0,0.0,55.6
128,717473,34.10054,-118.31581,14,0.9082,0.6741,0.234,0.0154,7.0,381,3,70.0,0.0,61.38
85,767621,34.13486,-118.22969,13,0.908,0.6486,0.2594,0.016,9.527,402,3,70.0,0.0,65.47
132,762329,34.13904,-118.22862,13,0.9073,0.6655,0.2418,0.016,7.729,384,4,70.0,0.0,66.52
154,717469,34.0971,-118.31366,17,0.905,0.655,0.2499,0.0133,6.3,381,3,70.0,0.0,55.68
162,717463,34.09004,-118.3059,15,0.9026,0.663,0.2396,0.0156,6.291,381,3,70.0,0.0,62.75
160,717461,34.08558,-118.30174,17,0.89785,0.6524,0.2454,0.00895,8.284,399,9,70.0,0.0,47.0
