regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
congested,82,51,769430,761604,0.56572,False,9,>8,,False,15600.5,34.15818,-118.45658,34.15407,-118.28711
congested,81,127,769431,717472,0.562475,False,6,6,,False,14460.8,34.15843,-118.45664,34.10045,-118.31601
congested,163,155,717462,717468,0.561732,False,2,2,4138.8,True,1060.3,34.08993,-118.30607,34.09699,-118.31381
congested,45,193,774011,717453,0.558577,False,-1,unreachable,,False,10738.2,34.14747,-118.20123,34.07696,-118.28093
congested,167,193,717582,717453,0.557607,False,7,7,,False,9029.9,34.15646,-118.26092,34.07696,-118.28093
congested,145,193,761003,717453,0.556032,False,7,7,,False,9088.0,34.15546,-118.30841,34.07696,-118.28093
congested,36,29,760987,773012,0.551374,False,7,7,,False,13461.3,34.15359,-118.34043,34.0839,-118.22086
congested,13,193,773906,717453,0.54685,False,6,6,,False,9078.7,34.1566,-118.30266,34.07696,-118.28093
congested,36,193,760987,717453,0.545505,False,5,5,,False,10129.6,34.15359,-118.34043,34.07696,-118.28093
congested,37,172,718204,772178,0.529249,False,8,8,,False,18748.2,34.15541,-118.29575,34.16903,-118.49885
congested,145,29,761003,773012,0.521294,False,6,6,,False,11325.6,34.15546,-118.30841,34.0839,-118.22086
congested,81,172,769431,772178,0.51574,False,2,2,4273.9,True,4058.5,34.15843,-118.45664,34.16903,-118.49885
congested,166,172,772669,772178,0.513626,False,10,>8,,False,26867.5,34.07828,-118.22834,34.16903,-118.49885
congested,69,172,717497,772178,0.506127,False,3,3,8235.6,True,7872.7,34.15685,-118.41456,34.16903,-118.49885
congested,138,172,772513,772178,0.494676,False,10,>8,,False,26593.3,34.06871,-118.23661,34.16903,-118.49885
congested,149,197,763995,772167,0.466822,False,6,6,,False,8880.3,34.21979,-118.40931,34.16526,-118.47985
congested,74,29,765176,773012,0.466529,False,7,7,,False,13189.8,34.13286,-118.35135,34.0839,-118.22086
congested,145,197,761003,772167,0.462697,False,7,7,,False,15811.9,34.15546,-118.30841,34.16526,-118.47985
congested,36,197,760987,772167,0.454319,False,5,5,,False,12893.7,34.15359,-118.34043,34.16526,-118.47985
congested,119,29,764760,773012,0.453997,False,7,7,,False,13553.6,34.13401,-118.35506,34.0839,-118.22086
congested,89,29,767351,773012,0.447059,False,12,>8,,False,25327.4,34.18022,-118.47022,34.0839,-118.22086
congested,105,197,718076,772167,0.444944,False,9,>8,,False,23421.1,34.16339,-118.2253,34.16526,-118.47985
congested,66,126,767610,769867,0.440466,False,5,5,9505.3,True,4166.0,34.18555,-118.21766,34.21846,-118.23931
congested,167,197,717582,772167,0.440408,False,7,7,,False,20167.5,34.15646,-118.26092,34.16526,-118.47985
