source,target,source_sensor_id,target_sensor_id,hops,unreachable,learned_rank_of_206,learned_weight,road_distance_m,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
87,165,772597,716943,11.0,False,139,0.004112893715500832,,29425.0,34.17109,-118.50495,34.05987,-118.21492
149,170,763995,716949,9.0,False,139,0.004681505728513002,,22379.1,34.21979,-118.40931,34.08406,-118.22974
45,150,774011,717508,,True,150,0.0026570677291601896,,29277.7,34.14747,-118.20123,34.17112,-118.51814
149,109,763995,761599,9.0,False,161,0.004475148860365152,,14850.3,34.21979,-118.40931,34.14226,-118.27786
182,77,717825,765171,,True,164,0.002123661572113633,9313.9,5988.7,34.22164,-118.47307,34.16789,-118.46896
96,121,717481,769847,10.0,False,166,0.002926840679720044,,15010.7,34.10634,-118.32826,34.20983,-118.22351
45,100,774011,772151,,True,168,0.0027763613034039736,,27480.0,34.14747,-118.20123,34.16928,-118.49872
149,38,763995,718045,9.0,False,179,0.0030325448606163263,,23059.6,34.21979,-118.40931,34.06712,-118.23973
134,59,716951,767366,12.0,False,181,0.002160540549084544,,26299.0,34.08581,-118.23182,34.21216,-118.47341
134,152,716951,773996,,True,185,0.002852133708074689,,6755.4,34.08581,-118.23182,34.14511,-118.21587
66,40,767610,768066,9.0,False,190,0.0034414143301546574,,14953.8,34.18555,-118.21766,34.15118,-118.3748
66,100,767610,772151,11.0,False,192,0.002342014340683818,,25918.4,34.18555,-118.21766,34.16928,-118.49872
69,49,717497,716956,9.0,False,196,0.002864197827875614,,15676.1,34.15685,-118.41456,34.10658,-118.25544
149,18,763995,769953,11.0,False,197,0.0020860510412603617,,19308.7,34.21979,-118.40931,34.20672,-118.19992
69,152,717497,773996,,True,201,0.0023454141337424517,,18330.1,34.15685,-118.41456,34.14511,-118.21587
149,8,763995,737529,9.0,False,206,0.001257503405213356,8507.5,6204.7,34.21979,-118.40931,34.20264,-118.47352
149,185,763995,717821,9.0,False,206,0.001257503405213356,8676.7,6266.6,34.21979,-118.40931,34.20112,-118.47361
105,87,718076,772597,10.0,False,206,0.0019902633503079414,,25742.8,34.16339,-118.2253,34.17109,-118.50495
