regime,target,sensor_id,lat,lon,in_degree,self_mass_share,mass_on_adjacent,mass_on_far_road,mass_on_no_road_path,mass_off_adjacency
free_flow,129,759591,34.11521,-118.26825,8,0.011,0.0419,0.4613,0.4967,0.9581
free_flow,5,717445,34.06913,-118.25932,8,0.0077,0.0424,0.2246,0.733,0.9576
free_flow,94,717483,34.11684,-118.33698,8,0.0153,0.0428,0.2772,0.6799,0.9572
free_flow,111,773916,34.15247,-118.2852,7,0.016,0.0428,0.1812,0.776,0.9572
free_flow,57,764949,34.12881,-118.34684,7,0.0123,0.0429,0.2198,0.7373,0.9571
free_flow,133,716953,34.09458,-118.24279,7,0.0118,0.0432,0.2031,0.7537,0.9568
free_flow,34,717819,34.18784,-118.47407,5,0.0114,0.0432,0.1607,0.7961,0.9568
free_flow,58,773954,34.15544,-118.29344,8,0.0137,0.0439,0.2453,0.7108,0.9561
free_flow,49,716956,34.10658,-118.25544,8,0.0132,0.0439,0.4145,0.5416,0.9561
free_flow,54,773953,34.15522,-118.29344,8,0.0136,0.0442,0.2261,0.7298,0.9558
free_flow,199,774204,34.15397,-118.34172,7,0.0146,0.0443,0.2746,0.6811,0.9557
free_flow,42,773927,34.15262,-118.28034,7,0.0161,0.0443,0.1946,0.7611,0.9557
free_flow,139,716958,34.11167,-118.26501,5,0.0123,0.0448,0.4817,0.4735,0.9552
free_flow,45,774011,34.14747,-118.20123,7,0.0164,0.0455,0.2768,0.6777,0.9545
free_flow,10,765604,34.16415,-118.38223,8,0.0131,0.0457,0.2923,0.662,0.9543
free_flow,78,718064,34.11296,-118.24489,7,0.0129,0.0458,0.286,0.6682,0.9542
free_flow,88,767350,34.18011,-118.47045,7,0.0156,0.046,0.1689,0.7852,0.954
free_flow,60,769444,34.15555,-118.43908,8,0.0119,0.0462,0.2292,0.7247,0.9538
free_flow,71,717491,34.14761,-118.3711,10,0.0143,0.0462,0.2754,0.6784,0.9538
free_flow,205,718141,34.15133,-118.37456,7,0.0129,0.0474,0.2572,0.6954,0.9526
free_flow,167,717582,34.15646,-118.26092,5,0.0127,0.0475,0.2896,0.6629,0.9525
