sample,node,fidelity_plus,fidelity_plus_random,fidelity_minus,fidelity_minus_random,stability,sparsity
4316,200,1.1447089356616047,0.19987775293466115,6.233977457450571,6.459363608911751,0.6,0.03864734299516908
472,61,0.7826224821163805,0.37643315817268785,37.33084964301497,37.02461890731365,1.0,0.03864734299516908
1175,14,0.0909550228061562,0.2416140937966702,44.60977675331088,44.17632285374731,1.0,0.03864734299516908
101,144,0.06872286380803416,0.03865239893548278,3.1405765476911256,3.1425727246096358,0.6,0.03864734299516908
585,196,0.1816102704988225,0.16400952081221476,0.6036947922116269,0.6368571236616845,1.0,0.03864734299516908
5398,163,0.04886566733694053,0.0030209895157895517,2.2314236959427944,2.334232616841291,0.7777777777777778,0.03864734299516908
3193,77,0.007171364342866582,0.17391139490973728,43.40312228238813,43.02970464908073,0.7777777777777778,0.03864734299516908
2650,29,0.022689955101668602,0.07144872588651197,1.621016497410892,1.6255898107701796,1.0,0.03864734299516908
3129,16,0.5360606465483215,0.14125566016309676,0.3611325724746166,0.7049560369428036,0.7777777777777778,0.03864734299516908
3428,16,0.3240383069778545,0.12835952068780898,0.49218890726479003,0.49251656843534874,1.0,0.03864734299516908
4506,61,4.304936784138135,0.22318721966939847,26.660893608779134,27.119435664352295,0.7777777777777778,0.03864734299516908
6583,197,0.046021289515920216,0.1641419795832917,1.0869235607644896,1.1122359671496724,0.7777777777777778,0.03864734299516908
2972,38,1.0460617727658246,1.1032188944045629,29.334051039396854,28.696439249315745,0.7777777777777778,0.03864734299516908
5406,73,0.4900823480370491,0.00847213271322289,15.691241471548437,15.62082162497586,0.7777777777777778,0.03864734299516908
932,29,0.06872983532230137,0.03886386820158805,3.784914106161523,4.239633448078166,0.7777777777777778,0.03864734299516908
6544,144,0.04253988957873389,0.04948642258648306,1.5315047232979282,1.7811309751060662,0.7777777777777778,0.03864734299516908
5806,16,0.23554655254611134,0.29440356174700355,1.1509888720825074,1.2007794269788974,0.7777777777777778,0.03864734299516908
4816,16,0.07608710671229346,0.10286934068881237,1.078730288621955,1.2216440072616024,0.23076923076923078,0.03864734299516908
5186,16,0.06539047998830938,0.038580359954721644,1.0314239166427797,1.1846043519599334,1.0,0.03864734299516908
2859,121,0.3301209531759923,0.12174587748631893,4.48129982823184,4.580169262609843,0.7777777777777778,0.03864734299516908
3043,163,0.12514797644871578,0.04292593718128046,1.1791340370982653,1.6830118499510718,0.6,0.03864734299516908
2705,124,0.062274213110868004,0.08990697182798613,35.76897627736969,36.11736201696624,0.7777777777777778,0.03864734299516908
2470,206,0.1035548729250877,0.21078605770708236,13.398927408076815,14.254446076729437,1.0,0.03864734299516908
1703,162,0.9144047258296268,0.24755382395233028,2.800050028511805,2.770452464690379,0.7777777777777778,0.03864734299516908
3315,155,0.07005907070924877,0.05990854593619588,2.787992213627149,3.4437793223623885,1.0,0.03864734299516908
3563,75,0.11751649216421356,0.06277151446192875,2.1665467841721693,2.582253532249524,1.0,0.03864734299516908
1174,14,0.22306057049354422,0.060185082668795076,39.37194925658446,39.39651803478114,0.7777777777777778,0.03864734299516908
6560,197,0.12134559637547682,0.011940461061158203,1.1161039956489276,1.3188577070011434,0.7777777777777778,0.03864734299516908
1773,16,0.1806621445584824,0.15687766171686235,0.1110306600576223,0.040913493396146805,0.7777777777777778,0.03864734299516908
2215,16,0.6392181431601784,0.13257961065755808,1.059435460968416,0.9287753405724288,1.0,0.03864734299516908
3846,125,0.18413163482546224,0.5403806615559006,11.686769980812642,11.282338495143449,0.7777777777777778,0.03864734299516908
865,196,0.21503984332912296,0.006798388329571026,1.3302009416734109,1.5118681462054155,0.7777777777777778,0.03864734299516908
2799,16,0.1616833588850568,0.06600629708191263,0.08057443806228548,0.11436536771543615,0.23076923076923078,0.03864734299516908
1426,196,0.4424262384254689,0.22623725716130139,0.13196844124013296,0.0169988756215389,1.0,0.03864734299516908
473,61,0.6011336321577119,0.4785680207854739,39.236808776352746,38.888574667191506,1.0,0.03864734299516908
6625,197,0.035230547349328845,0.045388043636648945,0.9840315626543088,1.0197687067070547,1.0,0.03864734299516908
1941,163,0.013345802145522612,0.11716326877467509,4.07465488678281,3.986214256789026,1.0,0.03864734299516908
1199,29,0.046816042142381775,0.0701613195851678,2.991379170858636,2.9158079562021157,0.7777777777777778,0.03864734299516908
2417,25,0.18706664233195625,0.09072728667342744,8.077366070166136,8.18170175268915,0.6,0.03864734299516908
734,26,0.376882385123281,0.07485547252508695,13.132745698002509,14.206398400399848,0.7777777777777778,0.03864734299516908
5202,16,0.021474587781085575,0.011404235422105558,0.46901791767868417,0.43630408697981693,0.7777777777777778,0.03864734299516908
5555,163,0.23523748208026518,0.29107698752250144,6.749971162985275,6.903688404901004,1.0,0.03864734299516908
4507,155,0.04023260883604962,0.3005791614687041,2.0873085530110984,1.8273082522537152,0.7777777777777778,0.03864734299516908
681,144,0.030082084062996728,0.033154198016745795,2.5766321679120665,2.6125308187120027,1.0,0.03864734299516908
