city,model,sample_index,target_node,tod_band,congestion,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,quantitative_fidelity,n_cited_causes,n_topk
metr_la,mistral:7b,6335,105,night,medium,A,,1.0,0.375,0.5454545454545454,0.0,0.6,2,8
metr_la,mistral:7b,6335,105,night,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,6615,197,night,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
metr_la,mistral:7b,6615,197,night,medium,B,,0.3333333333333333,0.375,0.35294117647058826,0.6666666666666667,0.4,3,8
metr_la,mistral:7b,6316,77,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,0.8571428571428571,4,8
metr_la,mistral:7b,6316,77,night,medium,B,,0.0,0.0,0.0,1.0,0.3333333333333333,2,8
metr_la,mistral:7b,1154,197,night,medium,A,,1.0,1.0,1.0,0.0,0.0,8,8
metr_la,mistral:7b,1154,197,night,medium,B,,0.0,0.0,0.0,1.0,0.4,1,8
metr_la,mistral:7b,3163,51,night,medium,A,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
metr_la,mistral:7b,3163,51,night,medium,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,3506,16,am_rush,low,A,,1.0,0.5,0.6666666666666666,0.0,,3,8
metr_la,mistral:7b,3506,16,am_rush,low,B,,1.0,0.125,0.2222222222222222,0.0,0.25,1,8
metr_la,mistral:7b,3532,56,am_rush,low,A,,1.0,0.5,0.6666666666666666,0.0,0.5,3,8
metr_la,mistral:7b,3532,56,am_rush,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
metr_la,mistral:7b,1770,16,am_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,0.5,3,8
metr_la,mistral:7b,1770,16,am_rush,low,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,5516,77,am_rush,low,A,,1.0,0.875,0.9333333333333333,0.0,0.1111111111111111,12,8
metr_la,mistral:7b,5516,77,am_rush,low,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,5536,12,am_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,0.2222222222222222,2,8
metr_la,mistral:7b,5536,12,am_rush,low,B,,0.0,0.0,0.0,1.0,0.2857142857142857,1,8
metr_la,mistral:7b,3515,16,am_rush,low,A,,1.0,0.875,0.9333333333333333,0.0,0.5714285714285714,3,8
metr_la,mistral:7b,3515,16,am_rush,low,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,5532,16,am_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,0.5,2,8
metr_la,mistral:7b,5532,16,am_rush,low,B,,1.0,0.125,0.2222222222222222,0.0,0.5,1,8
metr_la,mistral:7b,4397,77,am_rush,medium,A,,1.0,1.0,1.0,0.0,0.5,4,8
metr_la,mistral:7b,4397,77,am_rush,medium,B,,0.0,0.0,0.0,1.0,0.3333333333333333,2,8
metr_la,mistral:7b,5257,12,am_rush,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.3333333333333333,2,8
metr_la,mistral:7b,5257,12,am_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,2917,77,am_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.3333333333333333,2,8
metr_la,mistral:7b,2917,77,am_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,5246,12,am_rush,medium,A,,1.0,1.0,1.0,0.0,,7,8
metr_la,mistral:7b,5246,12,am_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,1194,56,am_rush,medium,A,,1.0,1.0,1.0,0.0,0.5,9,8
metr_la,mistral:7b,1194,56,am_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,3212,84,am_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
metr_la,mistral:7b,3212,84,am_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,6660,77,am_rush,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.2857142857142857,4,8
metr_la,mistral:7b,6660,77,am_rush,medium,B,,0.5,0.375,0.42857142857142855,0.5,0.0,2,8
metr_la,mistral:7b,6092,9,am_rush,high,A,,1.0,0.625,0.7692307692307693,0.0,,4,8
metr_la,mistral:7b,6092,9,am_rush,high,B,,0.0,0.0,0.0,1.0,0.6666666666666666,2,8
metr_la,mistral:7b,2649,29,am_rush,high,A,,1.0,0.875,0.9333333333333333,0.0,0.6666666666666666,7,8
metr_la,mistral:7b,2649,29,am_rush,high,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,4367,29,am_rush,high,A,,1.0,0.625,0.7692307692307693,0.0,0.8333333333333334,3,8
metr_la,mistral:7b,4367,29,am_rush,high,B,,0.0,0.0,0.0,1.0,0.5714285714285714,1,8
metr_la,mistral:7b,361,29,am_rush,high,A,,1.0,0.625,0.7692307692307693,0.0,0.3333333333333333,2,8
metr_la,mistral:7b,361,29,am_rush,high,B,,1.0,0.125,0.2222222222222222,0.0,0.3333333333333333,1,8
metr_la,mistral:7b,1225,9,am_rush,high,A,,1.0,1.0,1.0,0.0,0.8888888888888888,7,8
metr_la,mistral:7b,1225,9,am_rush,high,B,,0.0,0.0,0.0,1.0,0.4,2,8
metr_la,mistral:7b,2660,77,am_rush,high,A,,1.0,1.0,1.0,0.0,1.0,3,8
metr_la,mistral:7b,2660,77,am_rush,high,B,,0.0,0.0,0.0,1.0,0.5,2,8
metr_la,mistral:7b,6119,9,am_rush,high,A,,1.0,0.875,0.9333333333333333,0.0,,3,8
metr_la,mistral:7b,6119,9,am_rush,high,B,,0.3333333333333333,0.25,0.28571428571428575,0.6666666666666667,0.5,3,8
metr_la,mistral:7b,5866,12,midday,low,A,,1.0,1.0,1.0,0.0,,7,8
metr_la,mistral:7b,5866,12,midday,low,B,,1.0,0.125,0.2222222222222222,0.0,0.5,1,8
metr_la,mistral:7b,5849,197,midday,low,A,,1.0,0.75,0.8571428571428571,0.0,1.0,3,8
metr_la,mistral:7b,5849,197,midday,low,B,,0.3333333333333333,0.25,0.28571428571428575,0.6666666666666667,0.6,3,8
metr_la,mistral:7b,3831,131,midday,low,A,,1.0,0.5,0.6666666666666666,0.0,,3,8
metr_la,mistral:7b,3831,131,midday,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,2,8
metr_la,mistral:7b,1813,62,midday,low,A,,1.0,0.875,0.9333333333333333,0.0,1.0,3,8
metr_la,mistral:7b,1813,62,midday,low,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
metr_la,mistral:7b,5861,91,midday,low,A,,1.0,0.375,0.5454545454545454,0.0,1.0,3,8
metr_la,mistral:7b,5861,91,midday,low,B,,1.0,0.375,0.5454545454545454,0.0,0.25,1,8
metr_la,mistral:7b,1836,91,midday,low,A,,1.0,0.375,0.5454545454545454,0.0,1.0,4,8
metr_la,mistral:7b,1836,91,midday,low,B,,1.0,0.125,0.2222222222222222,0.0,0.0,1,8
metr_la,mistral:7b,5855,91,midday,low,A,,1.0,0.5,0.6666666666666666,0.0,0.5,3,8
metr_la,mistral:7b,5855,91,midday,low,B,,1.0,0.375,0.5454545454545454,0.0,0.25,1,8
metr_la,mistral:7b,3544,144,midday,medium,A,,1.0,0.75,0.8571428571428571,0.0,1.0,3,8
metr_la,mistral:7b,3544,144,midday,medium,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,4987,144,midday,medium,A,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
metr_la,mistral:7b,4987,144,midday,medium,B,,1.0,0.125,0.2222222222222222,0.0,0.0,1,8
metr_la,mistral:7b,6133,56,midday,medium,A,,1.0,0.875,0.9333333333333333,0.0,,3,8
metr_la,mistral:7b,6133,56,midday,medium,B,,0.0,0.0,0.0,1.0,0.42857142857142855,1,8
metr_la,mistral:7b,6150,56,midday,medium,A,,1.0,0.875,0.9333333333333333,0.0,1.0,2,8
metr_la,mistral:7b,6150,56,midday,medium,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,1242,12,midday,medium,A,,1.0,0.375,0.5454545454545454,0.0,1.0,2,8
metr_la,mistral:7b,1242,12,midday,medium,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,2391,124,midday,medium,A,,1.0,0.75,0.8571428571428571,0.0,1.0,4,8
metr_la,mistral:7b,2391,124,midday,medium,B,,0.0,0.0,0.0,1.0,0.3333333333333333,1,8
metr_la,mistral:7b,6134,144,midday,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.3333333333333333,2,8
metr_la,mistral:7b,6134,144,midday,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,3296,121,midday,high,A,,1.0,0.375,0.5454545454545454,0.0,0.5,3,8
metr_la,mistral:7b,3296,121,midday,high,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,5574,155,midday,high,A,,1.0,0.75,0.8571428571428571,0.0,0.2857142857142857,7,8
metr_la,mistral:7b,5574,155,midday,high,B,,0.0,0.0,0.0,1.0,0.5714285714285714,1,8
metr_la,mistral:7b,982,150,midday,high,A,,1.0,0.75,0.8571428571428571,0.0,1.0,3,8
metr_la,mistral:7b,982,150,midday,high,B,,0.3333333333333333,0.25,0.28571428571428575,0.6666666666666667,0.3333333333333333,3,8
metr_la,mistral:7b,5587,155,midday,high,A,,1.0,0.875,0.9333333333333333,0.0,1.0,4,8
metr_la,mistral:7b,5587,155,midday,high,B,advisory failed validation after 3 attempts: recommendations[2].location: expected string,0.0,0.0,0.0,1.0,,0,8
metr_la,mistral:7b,2724,155,midday,high,A,,1.0,0.875,0.9333333333333333,0.0,0.0,4,8
metr_la,mistral:7b,2724,155,midday,high,B,,0.0,0.0,0.0,1.0,0.3333333333333333,2,8
metr_la,mistral:7b,6735,16,midday,high,A,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
metr_la,mistral:7b,6735,16,midday,high,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,3270,10,midday,high,A,,1.0,0.5,0.6666666666666666,0.0,,3,8
metr_la,mistral:7b,3270,10,midday,high,B,,1.0,0.375,0.5454545454545454,0.0,0.25,1,8
metr_la,mistral:7b,1879,61,pm_rush,low,A,,1.0,0.5,0.6666666666666666,0.0,0.42857142857142855,2,8
metr_la,mistral:7b,1879,61,pm_rush,low,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,1919,16,pm_rush,low,A,,1.0,0.875,0.9333333333333333,0.0,0.6,2,8
metr_la,mistral:7b,1919,16,pm_rush,low,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,5668,144,pm_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,,3,8
metr_la,mistral:7b,5668,144,pm_rush,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,1926,77,pm_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,,4,8
metr_la,mistral:7b,1926,77,pm_rush,low,B,,0.0,0.0,0.0,1.0,0.2857142857142857,1,8
metr_la,mistral:7b,2210,96,pm_rush,low,A,,1.0,0.5,0.6666666666666666,0.0,1.0,4,8
metr_la,mistral:7b,2210,96,pm_rush,low,B,,0.5,0.25,0.3333333333333333,0.5,0.0,2,8
metr_la,mistral:7b,5923,12,pm_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,0.25,2,8
metr_la,mistral:7b,5923,12,pm_rush,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,1918,16,pm_rush,low,A,,1.0,0.75,0.8571428571428571,0.0,0.6,2,8
metr_la,mistral:7b,1918,16,pm_rush,low,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,3644,155,pm_rush,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.6666666666666666,2,8
metr_la,mistral:7b,3644,155,pm_rush,medium,B,,0.0,0.0,0.0,1.0,0.3333333333333333,2,8
metr_la,mistral:7b,1874,61,pm_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,,5,8
metr_la,mistral:7b,1874,61,pm_rush,medium,B,,0.5,0.125,0.2,0.5,0.0,2,8
metr_la,mistral:7b,4222,12,pm_rush,medium,A,,1.0,0.75,0.8571428571428571,0.0,0.2,2,8
metr_la,mistral:7b,4222,12,pm_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,4797,121,pm_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,1.0,2,8
metr_la,mistral:7b,4797,121,pm_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,1344,12,pm_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,1.0,5,8
metr_la,mistral:7b,1344,12,pm_rush,medium,B,,0.0,0.0,0.0,1.0,0.2857142857142857,1,8
metr_la,mistral:7b,765,12,pm_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.3333333333333333,2,8
metr_la,mistral:7b,765,12,pm_rush,medium,B,,1.0,0.375,0.5454545454545454,0.0,0.0,1,8
metr_la,mistral:7b,4223,12,pm_rush,medium,A,,1.0,0.625,0.7692307692307693,0.0,1.0,5,8
metr_la,mistral:7b,4223,12,pm_rush,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,1603,206,pm_rush,high,A,,1.0,0.75,0.8571428571428571,0.0,1.0,3,8
metr_la,mistral:7b,1603,206,pm_rush,high,B,,0.0,0.0,0.0,1.0,0.6,2,8
metr_la,mistral:7b,3365,206,pm_rush,high,A,,1.0,0.625,0.7692307692307693,0.0,0.4,3,8
metr_la,mistral:7b,3365,206,pm_rush,high,B,,0.0,0.0,0.0,1.0,0.3333333333333333,2,8
metr_la,mistral:7b,3894,91,pm_rush,high,A,,1.0,0.625,0.7692307692307693,0.0,0.0,5,8
metr_la,mistral:7b,3894,91,pm_rush,high,B,,1.0,0.5,0.6666666666666666,0.0,0.25,1,8
metr_la,mistral:7b,5049,38,pm_rush,high,A,,1.0,1.0,1.0,0.0,1.0,4,8
metr_la,mistral:7b,5049,38,pm_rush,high,B,,1.0,0.625,0.7692307692307693,0.0,0.25,1,8
metr_la,mistral:7b,6795,149,pm_rush,high,A,,1.0,0.75,0.8571428571428571,0.0,,3,8
metr_la,mistral:7b,6795,149,pm_rush,high,B,,0.3333333333333333,0.125,0.18181818181818182,0.6666666666666667,0.25,3,8
metr_la,mistral:7b,4767,155,pm_rush,high,A,,1.0,0.875,0.9333333333333333,0.0,1.0,4,8
metr_la,mistral:7b,4767,155,pm_rush,high,B,,0.0,0.0,0.0,1.0,0.2,2,8
metr_la,mistral:7b,3626,206,pm_rush,high,A,,1.0,0.75,0.8571428571428571,0.0,1.0,4,8
metr_la,mistral:7b,3626,206,pm_rush,high,B,,0.0,0.0,0.0,1.0,0.5,2,8
metr_la,mistral:7b,2821,16,evening,low,A,,1.0,0.75,0.8571428571428571,0.0,1.0,3,8
metr_la,mistral:7b,2821,16,evening,low,B,,1.0,0.125,0.2222222222222222,0.0,0.25,1,8
metr_la,mistral:7b,6828,193,evening,low,A,,1.0,0.75,0.8571428571428571,0.0,1.0,2,8
metr_la,mistral:7b,6828,193,evening,low,B,,0.0,0.0,0.0,1.0,0.5,1,8
metr_la,mistral:7b,6581,197,evening,low,A,,1.0,0.875,0.9333333333333333,0.0,0.5,7,8
metr_la,mistral:7b,6581,197,evening,low,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,219,16,evening,low,A,,1.0,0.75,0.8571428571428571,0.0,,2,8
metr_la,mistral:7b,219,16,evening,low,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,236,16,evening,low,A,,1.0,0.875,0.9333333333333333,0.0,0.6666666666666666,2,8
metr_la,mistral:7b,236,16,evening,low,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,2530,135,evening,low,A,,1.0,0.875,0.9333333333333333,0.0,1.0,3,8
metr_la,mistral:7b,2530,135,evening,low,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,6292,77,evening,low,A,,1.0,0.875,0.9333333333333333,0.0,1.0,3,8
metr_la,mistral:7b,6292,77,evening,low,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,5424,142,evening,medium,A,,1.0,0.875,0.9333333333333333,0.0,1.0,6,8
metr_la,mistral:7b,5424,142,evening,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,5702,206,evening,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.8,3,8
metr_la,mistral:7b,5702,206,evening,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,5421,145,evening,medium,A,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
metr_la,mistral:7b,5421,145,evening,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,5716,155,evening,medium,A,,1.0,0.625,0.7692307692307693,0.0,0.2857142857142857,2,8
metr_la,mistral:7b,5716,155,evening,medium,B,,0.0,0.0,0.0,1.0,0.2,2,8
metr_la,mistral:7b,5385,155,evening,medium,A,,1.0,0.5,0.6666666666666666,0.0,1.0,2,8
metr_la,mistral:7b,5385,155,evening,medium,B,,0.0,0.0,0.0,1.0,0.25,2,8
metr_la,mistral:7b,5423,142,evening,medium,A,,1.0,0.5,0.6666666666666666,0.0,0.5714285714285714,3,8
metr_la,mistral:7b,5423,142,evening,medium,B,,0.0,0.0,0.0,1.0,0.0,1,8
metr_la,mistral:7b,5420,145,evening,medium,A,,1.0,0.875,0.9333333333333333,0.0,0.3333333333333333,2,8
metr_la,mistral:7b,5420,145,evening,medium,B,,0.0,0.0,0.0,1.0,0.25,1,8
metr_la,mistral:7b,3370,206,evening,high,A,,1.0,0.875,0.9333333333333333,0.0,0.26666666666666666,3,8
metr_la,mistral:7b,3370,206,evening,high,B,,0.0,0.0,0.0,1.0,0.0,2,8
metr_la,mistral:7b,3369,206,evening,high,A,,1.0,0.625,0.7692307692307693,0.0,0.1,3,8
metr_la,mistral:7b,3369,206,evening,high,B,,0.0,0.0,0.0,1.0,0.0,2,8
