setting,lambda_size,target,n_windows,entropy_of_mean,mean_of_entropy,std_of_entropy,sources_for_80pct_of_mean,mean_sources_for_80pct_per_window,self_importance,split_half_jaccard
3x,0.45,138,24,0.9980245828859892,0.9895213999136926,0.009192967682483587,157,148.5,0.49457529994348687,0.3333333333333333
3x,0.45,141,24,0.9972007763547873,0.9897427577789423,0.012819810844844674,153,146.45833333333334,0.5416233980407318,0.0
3x,0.45,147,24,0.9989045770602651,0.9925532947507237,0.01242504459529584,159,153.83333333333334,0.44999897355834645,0.14285714285714285
3x,0.45,148,24,0.9984823451210889,0.9917662563548392,0.009772385161067142,157,149.29166666666666,0.6071206107735634,0.06666666666666667
3x,0.45,154,24,0.9990378326510695,0.9946024898858977,0.008882741799444184,159,153.58333333333334,0.4662493731205662,0.23076923076923078
3x,0.45,155,24,0.9967031821031679,0.9856360245904815,0.012159805404959262,155,144.75,0.5540575111905733,0.3333333333333333
3x,0.45,161,24,0.9984361535504079,0.9893588503681962,0.010013118457189737,158,148.45833333333334,0.5647698659449816,0.23076923076923078
3x,0.45,164,24,0.998987654653999,0.993681831092533,0.011094931178890955,160,154.58333333333334,0.507098076865077,0.23076923076923078
3x,0.45,166,24,0.9988965867316378,0.9915690149268649,0.0077080961051579746,158,149.54166666666666,0.6458843424916267,0.06666666666666667
3x,0.45,167,24,0.9981697861731725,0.9935044161129679,0.00940674939510229,159,153.375,0.5845931538691124,0.23076923076923078
3x,0.45,170,24,0.9982548106520157,0.9869110972482252,0.0168860040172758,158,149.25,0.4753302192936341,0.23076923076923078
3x,0.45,171,24,0.9978496568069258,0.9920817981997924,0.005169823792300847,159,151.125,0.7125352484484514,0.7777777777777778
3x,0.45,184,24,0.9994126776090422,0.9964047796088803,0.003451462008382389,161,155.45833333333334,0.5662014403690895,0.3333333333333333
3x,0.45,189,24,0.998938441578295,0.9923237139474637,0.013709112788461661,160,153.375,0.5557686649262905,0.06666666666666667
3x,0.45,196,24,0.9897261003254753,0.9719664129865406,0.015966720431753283,146,133.45833333333334,0.6628982995947202,0.45454545454545453
3x,0.45,205,24,0.99840416866353,0.991778422943382,0.011796491472435493,158,150.5,0.5879243165254593,0.06666666666666667
10x,1.5,9,24,0.9986250004962758,0.9927863415404062,0.011264998044389933,158,151.20833333333334,0.5811481724182764,0.14285714285714285
10x,1.5,15,24,0.9953709667680259,0.9846606125283697,0.01667425091787631,157,149.79166666666666,0.5651938710361719,0.7777777777777778
10x,1.5,16,24,0.997442515412361,0.9876465523243718,0.015021153868837771,158,152.04166666666666,0.683848287910223,0.23076923076923078
10x,1.5,18,24,0.9995121729349891,0.9979322477657958,0.0031590986809913644,161,158.29166666666666,0.44171418870488804,0.23076923076923078
10x,1.5,25,24,0.9989207536203555,0.9943470080076663,0.009865336639108028,160,155.58333333333334,0.44976064128180343,0.0
10x,1.5,30,24,0.999452677971265,0.996699501471017,0.0048387768272893416,162,157.70833333333334,0.5854730991025766,0.06666666666666667
10x,1.5,45,24,0.9995063672284081,0.9977146081180227,0.0032067964505419193,161,157.54166666666666,0.7173214244345824,0.3333333333333333
10x,1.5,66,24,0.9994437818958157,0.9977730516639616,0.0038818444732661517,161,157.33333333333334,0.7022603514293829,0.14285714285714285
10x,1.5,68,24,0.9993337795226367,0.9966068351159351,0.005282172696140323,161,156.875,0.5731559880077839,0.3333333333333333
10x,1.5,69,24,0.999422256744396,0.9964886992605999,0.006433104818700661,161,157.33333333333334,0.6413052305579185,0.0
